model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V3,"[0, 0.45, 1]",2.050229165030995,"[65.12365250475587, 34.87634749524414]","[63.037974683544306, 36.9620253164557]","[68.5491723466407, 72.72727272727273]","[71.08433734939759, 71.23287671232876]"
V3,"[0, 0.5, 1]",2.181469603087047,"[66.07482561826252, 33.92517438173748]","[64.0506329113924, 35.949367088607595]","[68.42610364683301, 73.08411214953271]","[71.14624505928853, 71.12676056338029]"
V3,"[0, 0.55, 1]",2.424988879037171,"[66.89917564996829, 33.10082435003171]","[64.30379746835443, 35.69620253164557]","[68.62559241706161, 72.79693486590038]","[71.25984251968504, 70.92198581560284]"
V3,"[0, 0.6, 1]",1.8582066415666043,"[68.29422954977807, 31.705770450221944]","[65.56962025316456, 34.43037974683544]","[69.08077994428969, 72.0]","[70.27027027027027, 72.79411764705883]"
V3,"[0, 0.65, 1]",1.5614395552975333,"[70.45022194039315, 29.549778059606847]","[68.10126582278481, 31.89873417721519]","[68.76687668766877, 72.96137339055794]","[70.26022304832715, 73.01587301587301]"
V3,"[0, 0.7, 1]",2.2621164986945015,"[73.43056436271401, 26.569435637285988]","[69.87341772151898, 30.126582278481013]","[68.9119170984456, 73.0310262529833]","[69.92753623188406, 73.94957983193278]"
V3,"[0, 0.75, 1]",0.8504968692135888,"[78.56689917564998, 21.43310082435003]","[77.72151898734178, 22.278481012658226]","[68.76513317191282, 74.55621301775149]","[70.03257328990227, 75.0]"
V3,"[0, 0.8, 1]",0.46292862780608957,"[89.1566265060241, 10.843373493975903]","[89.36708860759494, 10.632911392405063]","[69.27453769559034, 76.0233918128655]","[70.53824362606233, 76.19047619047619]"
V3,"[0, 0.85, 1]",1.0385936738784065,"[96.19530754597336, 3.804692454026633]","[96.45569620253166, 3.5443037974683547]","[70.13843111404087, 66.66666666666666]","[71.39107611548556, 64.28571428571429]"
V3,"[0, 0.9, 1]",4.138250538839152,"[97.20989220038047, 2.7901077996195305]","[97.9746835443038, 2.0253164556962027]","[70.18917155903456, 63.63636363636363]","[71.57622739018088, 50.0]"
V4,"[0, 0.45, 1]",1.285482183430684,"[4.819277108433735, 95.18072289156626]","[5.822784810126582, 94.17721518987342]","[46.05263157894737, 71.21918720852764]","[47.82608695652174, 72.58064516129032]"
V4,"[0, 0.5, 1]",0.7714416937763655,"[5.136334812935954, 94.86366518706404]","[5.822784810126582, 94.17721518987342]","[48.148148148148145, 71.18983957219251]","[47.82608695652174, 72.58064516129032]"
V4,"[0, 0.55, 1]",0.7714416937763655,"[5.136334812935954, 94.86366518706404]","[5.822784810126582, 94.17721518987342]","[48.148148148148145, 71.18983957219251]","[47.82608695652174, 72.58064516129032]"
V4,"[0, 0.6, 1]",1.0127448416594131,"[5.580215599239061, 94.41978440076095]","[5.822784810126582, 94.17721518987342]","[50.0, 71.18871725990597]","[47.82608695652174, 72.58064516129032]"
V4,"[0, 0.65, 1]",1.8339068854750784,"[5.833861762840837, 94.16613823715916]","[6.075949367088607, 93.92405063291139]","[51.08695652173913, 71.17845117845117]","[45.83333333333333, 72.77628032345014]"
V4,"[0, 0.7, 1]",1.8567781280622737,"[5.897273303741281, 94.10272669625871]","[6.582278481012659, 93.41772151898734]","[50.53763440860215, 71.22641509433963]","[46.15384615384615, 72.89972899728997]"
V4,"[0, 0.75, 1]",1.1982436002974772,"[10.589727330374128, 89.41027266962587]","[11.139240506329113, 88.86075949367088]","[63.47305389221557, 70.78014184397163]","[61.36363636363637, 72.36467236467237]"
V4,"[0, 0.8, 1]",1.1612597076221824,"[11.414077362079897, 88.5859226379201]","[11.139240506329113, 88.86075949367088]","[63.888888888888886, 70.79455977093772]","[61.36363636363637, 72.36467236467237]"
V4,"[0, 0.85, 1]",1.4265305095900565,"[11.667723525681675, 88.33227647431833]","[11.89873417721519, 88.10126582278481]","[63.04347826086957, 70.92605886575735]","[59.57446808510638, 72.70114942528735]"
V4,"[0, 0.9, 1]",1.922274741867124,"[11.984781230183895, 88.0152187698161]","[12.40506329113924, 87.59493670886076]","[64.02116402116403, 70.82132564841498]","[59.183673469387756, 72.83236994219652]"
V5,"[0, 0.45, 1]",1.6569502374813112,"[47.558655675332915, 52.44134432466709]","[46.835443037974684, 53.16455696202531]","[70.8, 69.28657799274485]","[69.1891891891892, 72.85714285714285]"
